Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
53,male,25648,bachelor,6,hiking,3396,rural,57,178,summer,1,0,1
43,non-binary,28741,master,0,sunbathing,2325,urban,215,13,summer,1,0,0
60,female,115288,doctorate,2,sunbathing,2952,urban,163,126,spring,0,0,0
44,male,31424,high school,2,swimming,3757,urban,132,24,summer,1,0,0
22,male,25981,master,0,sunbathing,1491,urban,140,30,spring,1,0,0
37,female,93053,high school,8,skiing,658,urban,250,238,winter,0,0,0
28,male,74283,doctorate,1,hiking,2200,rural,14,59,summer,1,1,1
27,male,44934,doctorate,9,sunbathing,1681,rural,259,176,summer,0,0,0
57,male,38415,doctorate,6,skiing,4739,suburban,116,222,winter,1,1,1
55,non-binary,39975,bachelor,7,hiking,732,urban,292,54,summer,0,1,0
23,female,101701,doctorate,9,sunbathing,2910,suburban,160,93,summer,0,1,0
25,female,39488,bachelor,5,hiking,4035,suburban,283,9,summer,0,1,0
40,female,40911,bachelor,0,sunbathing,2747,rural,146,198,spring,0,1,0
64,male,105344,high school,4,sunbathing,4516,rural,25,248,summer,1,1,0
43,male,81740,bachelor,7,sunbathing,2173,suburban,131,254,winter,1,1,0
63,male,112234,bachelor,5,swimming,4253,urban,92,230,winter,0,1,0
60,female,108938,doctorate,0,sunbathing,1302,urban,281,268,fall,0,0,0
29,non-binary,93074,bachelor,5,swimming,2317,urban,262,240,spring,0,1,0
43,female,66378,doctorate,0,swimming,1938,urban,60,290,fall,1,1,0
30,female,61240,doctorate,2,sunbathing,1049,suburban,171,48,spring,0,1,0
57,non-binary,90158,bachelor,1,skiing,3190,urban,187,127,winter,0,0,0
35,male,86057,high school,1,skiing,2783,rural,65,128,winter,0,0,1
42,male,41907,bachelor,9,skiing,541,urban,204,77,fall,0,0,0
50,female,75676,high school,7,hiking,3943,rural,178,284,fall,0,0,1
64,non-binary,96897,high school,6,hiking,2536,urban,146,92,summer,0,1,0
57,female,32500,high school,3,sunbathing,3491,rural,114,25,winter,1,1,0
60,female,62808,master,4,hiking,3465,suburban,99,76,summer,1,1,0
29,non-binary,25165,master,8,skiing,1954,rural,92,11,winter,1,0,0
61,non-binary,60814,bachelor,5,hiking,3996,rural,186,252,spring,0,0,1
53,male,75931,doctorate,0,hiking,2977,suburban,97,41,fall,1,1,0
65,female,31495,bachelor,4,sunbathing,3308,urban,160,35,winter,1,0,0
21,non-binary,87712,doctorate,7,skiing,1803,rural,103,262,summer,0,0,1
22,non-binary,76631,master,6,swimming,1462,suburban,148,252,fall,1,1,0
54,non-binary,61914,doctorate,8,sunbathing,1665,urban,76,240,spring,1,1,0
25,non-binary,35805,high school,5,swimming,3936,rural,66,264,spring,0,0,0
59,female,53746,high school,2,hiking,4351,suburban,128,207,winter,1,1,1
66,female,104743,bachelor,2,sunbathing,1994,suburban,283,253,spring,1,1,0
45,female,49224,high school,6,sunbathing,1807,suburban,162,196,spring,1,0,0
48,non-binary,82606,high school,5,sunbathing,4891,urban,112,150,spring,0,1,0
26,male,75851,bachelor,9,swimming,2818,rural,187,221,summer,0,1,0
68,non-binary,109937,bachelor,4,sunbathing,2642,rural,118,59,fall,0,1,0
46,female,68382,doctorate,3,swimming,2931,rural,284,121,summer,0,0,0
31,female,110752,bachelor,7,swimming,4728,rural,248,281,summer,1,1,0
57,female,48782,bachelor,5,skiing,4495,suburban,181,10,summer,0,1,0
58,male,48896,bachelor,7,skiing,4965,rural,123,292,winter,0,1,1
39,male,35552,master,9,swimming,3768,rural,187,297,fall,0,0,0
28,female,62100,bachelor,7,skiing,2513,rural,286,270,spring,1,1,0
40,non-binary,79809,bachelor,9,swimming,3786,rural,265,292,fall,1,0,0
18,female,20387,doctorate,7,skiing,2870,rural,167,21,winter,1,1,0
63,female,22896,doctorate,9,skiing,2733,suburban,259,173,fall,0,1,0
54,male,60321,bachelor,5,skiing,4629,rural,245,74,fall,1,1,0
38,male,63430,bachelor,7,swimming,1274,urban,152,283,spring,0,1,0
43,male,105246,high school,8,sunbathing,2806,urban,220,255,summer,0,0,0
63,male,85272,master,4,skiing,3156,suburban,157,218,winter,0,0,1
53,female,45525,high school,1,skiing,1274,suburban,222,120,fall,1,1,0
40,non-binary,54089,doctorate,7,hiking,502,urban,127,120,summer,0,1,0
18,female,29772,master,2,sunbathing,2013,rural,275,15,fall,1,1,0
68,female,107652,bachelor,4,skiing,4712,urban,139,60,summer,1,1,0
57,non-binary,32697,high school,3,hiking,2329,rural,65,80,spring,0,1,1
32,female,22842,master,8,hiking,877,urban,253,155,spring,0,1,0
38,non-binary,72902,high school,7,swimming,3389,urban,30,56,summer,1,0,0
64,male,119224,master,4,hiking,2329,rural,220,108,spring,0,0,0
26,male,45372,master,6,sunbathing,517,rural,191,176,fall,1,0,0
26,male,26509,master,6,hiking,2314,rural,22,10,spring,0,1,0
27,non-binary,100337,doctorate,2,skiing,2500,urban,94,240,spring,0,1,1
69,female,60469,doctorate,1,swimming,4089,rural,153,152,winter,0,0,0
43,male,78738,high school,7,skiing,1162,urban,213,249,fall,1,1,1
58,male,79225,high school,4,swimming,4853,urban,67,146,summer,0,1,0
52,female,69595,high school,9,skiing,1480,suburban,95,117,winter,0,1,1
69,male,53113,high school,6,swimming,4891,rural,196,161,fall,1,1,0
42,male,87251,bachelor,6,skiing,3555,rural,39,6,summer,0,1,0
43,non-binary,41076,doctorate,0,skiing,2547,rural,193,184,fall,1,1,0
28,female,50100,bachelor,0,sunbathing,2022,rural,266,159,spring,1,1,0
55,non-binary,70793,bachelor,0,skiing,2165,rural,63,60,summer,1,1,0
19,male,21159,doctorate,7,swimming,2049,urban,231,240,winter,0,0,0
24,male,77716,doctorate,2,skiing,2146,suburban,254,211,spring,1,0,0
35,female,85857,high school,8,skiing,2620,rural,124,291,winter,1,1,1
44,male,81421,bachelor,5,hiking,2546,rural,293,141,fall,0,0,0
51,non-binary,34561,doctorate,2,swimming,3291,urban,1,142,spring,0,0,0
44,non-binary,70891,doctorate,7,swimming,2039,urban,242,264,fall,1,1,0
34,female,87601,bachelor,5,skiing,2031,rural,114,108,fall,1,0,0
60,female,117104,bachelor,9,swimming,4470,suburban,196,107,summer,0,1,0
61,male,108916,high school,2,swimming,2559,suburban,137,151,winter,1,0,0
68,female,28786,doctorate,7,swimming,1734,rural,253,188,spring,1,1,0
41,female,25434,bachelor,1,skiing,3170,urban,285,195,fall,1,0,0
42,male,77014,bachelor,2,skiing,3930,urban,231,159,summer,1,0,0
24,male,28313,bachelor,5,skiing,3709,suburban,271,76,summer,1,1,0
69,non-binary,117695,master,6,skiing,691,urban,121,139,fall,0,0,1
23,non-binary,44586,high school,0,hiking,2228,urban,40,99,fall,1,0,1
41,female,58865,doctorate,1,sunbathing,2273,suburban,219,73,summer,1,0,0
50,male,75476,master,8,sunbathing,723,rural,63,246,spring,1,0,0
66,female,59324,doctorate,1,skiing,1184,suburban,140,132,fall,1,1,0
46,non-binary,111970,master,2,hiking,4063,rural,95,244,fall,1,1,1
60,female,52241,doctorate,8,skiing,4025,suburban,21,181,fall,0,1,1
39,non-binary,102307,high school,4,sunbathing,1668,rural,242,140,spring,1,1,0
43,non-binary,20219,doctorate,3,swimming,4789,urban,109,199,summer,0,0,0
45,female,29352,master,7,hiking,2994,rural,241,178,spring,1,1,0
67,non-binary,68293,master,2,sunbathing,4353,suburban,274,97,spring,1,1,0
38,non-binary,44326,doctorate,1,swimming,3157,rural,71,260,winter,1,0,0
66,male,82400,doctorate,5,swimming,982,urban,174,173,spring,0,1,0
24,female,112578,doctorate,6,hiking,671,rural,27,139,summer,1,0,1
34,female,53198,doctorate,9,swimming,4861,urban,90,2,summer,0,0,0
37,female,63041,bachelor,5,sunbathing,2044,suburban,126,276,spring,0,0,0
58,non-binary,98142,bachelor,8,hiking,1350,rural,32,98,spring,0,0,1
66,non-binary,113448,doctorate,9,swimming,565,suburban,203,24,summer,1,1,0
37,non-binary,98098,bachelor,7,skiing,1451,rural,138,52,winter,1,1,0
39,female,103353,doctorate,7,swimming,703,suburban,105,77,fall,1,0,0
45,male,45773,high school,8,swimming,674,suburban,217,81,fall,1,1,0
57,female,95063,master,5,swimming,2450,suburban,202,39,summer,1,0,0
66,female,80023,high school,8,skiing,2036,suburban,136,289,summer,0,0,1
24,female,106698,master,2,swimming,2810,rural,14,209,summer,1,1,0
18,male,31677,high school,9,hiking,2817,suburban,106,105,summer,0,1,0
49,female,93187,master,5,hiking,2235,urban,102,298,summer,0,1,1
30,male,114390,master,0,swimming,4509,suburban,98,131,spring,0,1,0
47,male,53209,master,0,hiking,4260,urban,135,256,fall,1,1,1
40,female,58686,bachelor,1,hiking,1048,suburban,91,286,winter,0,0,1
68,female,53257,bachelor,2,hiking,4943,urban,29,83,winter,0,0,1
36,female,68174,master,4,skiing,737,suburban,43,53,fall,1,0,1
49,non-binary,88556,doctorate,4,sunbathing,1813,rural,83,60,winter,0,1,0
47,male,63300,master,7,swimming,1312,rural,227,140,summer,1,0,0
46,female,114173,master,2,swimming,4323,rural,25,265,summer,1,0,0
66,male,105688,doctorate,3,sunbathing,4265,urban,150,131,spring,0,0,0
62,non-binary,30318,bachelor,5,sunbathing,3763,rural,140,277,winter,1,0,0
46,non-binary,107224,master,4,hiking,1539,urban,0,260,fall,1,0,1
47,female,49282,doctorate,0,skiing,3608,suburban,140,151,fall,0,1,1
33,male,106914,doctorate,5,skiing,977,rural,187,251,summer,0,0,1
57,non-binary,38076,doctorate,8,skiing,2608,suburban,180,128,winter,1,0,0
36,non-binary,23543,doctorate,8,skiing,2931,rural,216,55,winter,1,0,0
35,male,77900,high school,8,swimming,2531,suburban,73,231,spring,1,1,0
18,non-binary,112758,master,8,swimming,518,suburban,167,238,winter,1,1,0
31,male,87912,bachelor,2,skiing,1710,suburban,42,23,summer,1,1,0
68,female,111649,bachelor,1,swimming,3095,rural,133,111,spring,1,1,0
64,male,20398,high school,3,swimming,4105,urban,128,263,summer,0,1,0
67,female,93695,doctorate,6,sunbathing,4915,suburban,74,277,fall,0,1,0
19,male,73905,high school,8,swimming,3462,rural,224,190,spring,1,1,0
45,non-binary,40124,doctorate,5,swimming,4476,suburban,298,185,fall,1,1,0
66,female,109383,high school,4,skiing,560,suburban,225,214,summer,1,0,0
67,male,25433,bachelor,5,swimming,4657,suburban,126,235,fall,1,0,0
47,female,107366,doctorate,0,hiking,2739,urban,201,40,summer,1,0,0
55,male,78717,master,5,swimming,2941,rural,44,293,spring,0,0,0
68,male,104186,master,1,sunbathing,4681,suburban,149,163,fall,1,1,0
21,female,72892,high school,0,swimming,4691,suburban,200,145,summer,1,0,0
18,female,26814,doctorate,9,hiking,3059,suburban,7,299,fall,1,1,1
25,female,87197,doctorate,3,sunbathing,1969,rural,147,127,fall,1,1,0
46,non-binary,117984,high school,4,sunbathing,2291,urban,177,285,winter,1,1,0
56,male,75144,doctorate,0,swimming,4022,urban,40,161,summer,0,0,0
20,male,30538,bachelor,2,swimming,1811,suburban,137,84,summer,0,0,0
49,female,87738,high school,8,swimming,4324,suburban,213,58,spring,1,1,0
27,male,87189,high school,8,sunbathing,3795,rural,131,112,spring,1,1,0
27,male,113148,bachelor,8,hiking,4182,rural,201,152,winter,0,0,0
36,male,86562,master,1,skiing,1327,urban,136,278,fall,1,1,1
63,female,109756,master,9,swimming,1478,urban,81,192,summer,1,0,0
51,male,36360,master,7,sunbathing,4402,urban,63,185,fall,1,1,0
50,male,90502,doctorate,8,skiing,2326,urban,93,292,spring,0,0,1
40,non-binary,87571,doctorate,6,swimming,3794,suburban,11,155,spring,1,0,0
45,non-binary,86188,high school,9,swimming,2233,rural,288,20,winter,1,1,0
49,female,51584,bachelor,5,swimming,2210,rural,122,175,winter,0,0,0
67,male,78427,doctorate,7,hiking,2434,rural,254,58,summer,1,0,0
24,male,61555,high school,6,hiking,1507,rural,45,131,summer,1,1,1
46,non-binary,77154,bachelor,9,sunbathing,754,suburban,13,188,summer,0,0,0
25,female,66277,bachelor,5,swimming,1275,urban,298,249,spring,1,0,0
18,female,20848,master,7,sunbathing,2487,suburban,14,134,fall,1,0,0
20,male,59802,master,2,skiing,1567,rural,228,270,fall,0,1,1
41,non-binary,101859,bachelor,4,hiking,4210,urban,105,18,spring,1,1,0
40,non-binary,43712,high school,8,hiking,2165,urban,147,207,winter,0,0,1
25,non-binary,72085,doctorate,5,swimming,2901,urban,244,45,summer,0,0,0
64,male,42975,bachelor,0,skiing,1396,urban,137,70,fall,1,1,0
54,male,77832,doctorate,3,skiing,1807,urban,206,36,spring,0,1,0
20,male,98829,bachelor,0,sunbathing,1866,urban,210,244,winter,1,1,0
68,non-binary,117274,master,4,hiking,4772,rural,229,212,summer,1,0,0
50,female,44389,doctorate,0,swimming,3730,rural,132,50,winter,1,0,0
45,male,104914,master,1,hiking,2234,rural,245,96,winter,1,1,0
64,male,38754,doctorate,2,hiking,2444,suburban,93,225,summer,1,0,1
25,female,95157,high school,2,sunbathing,4380,suburban,241,109,winter,1,0,0
51,female,52199,doctorate,4,skiing,1776,suburban,280,131,winter,0,1,0
52,non-binary,76087,master,5,hiking,562,suburban,64,105,spring,0,0,1
49,male,70380,doctorate,0,swimming,4420,rural,57,247,summer,1,0,0
41,non-binary,69472,bachelor,1,sunbathing,4309,urban,196,262,spring,0,0,0
31,male,33439,high school,9,swimming,4453,rural,205,89,summer,1,1,0
49,non-binary,70088,high school,2,hiking,2293,urban,32,153,winter,1,1,1
63,non-binary,87683,high school,9,hiking,3287,rural,213,103,winter,1,1,0
60,female,108863,high school,8,hiking,1986,urban,99,8,summer,1,1,0
33,male,103952,master,7,swimming,4358,suburban,62,159,summer,1,1,0
21,female,73574,master,7,sunbathing,2247,suburban,247,138,spring,0,0,0
69,female,20241,high school,6,sunbathing,4798,suburban,183,284,fall,0,0,0
54,female,57919,master,4,skiing,2254,urban,224,214,fall,1,0,0
38,male,108603,master,9,swimming,710,rural,244,28,summer,0,1,0
31,non-binary,67885,doctorate,8,hiking,2807,rural,216,262,winter,0,1,1
48,non-binary,26796,doctorate,0,skiing,1476,urban,176,71,winter,1,0,0
65,male,105980,master,9,hiking,602,suburban,7,91,spring,0,0,1
35,male,78801,doctorate,0,hiking,751,suburban,191,146,spring,0,0,0
24,non-binary,96967,bachelor,7,swimming,605,urban,190,272,summer,1,1,0
27,non-binary,117710,doctorate,9,swimming,3065,urban,111,184,winter,0,0,0
24,female,46736,bachelor,8,sunbathing,1202,suburban,179,166,summer,0,1,0
50,non-binary,103229,high school,3,skiing,2563,urban,77,78,summer,1,0,1
40,female,46145,master,1,skiing,777,rural,72,122,spring,1,1,1
38,non-binary,44109,high school,1,skiing,2473,suburban,209,77,winter,0,0,0
36,non-binary,55840,high school,5,hiking,3029,rural,37,168,winter,1,1,1
65,non-binary,71617,bachelor,8,skiing,2798,suburban,221,218,summer,1,1,0
36,female,73434,doctorate,1,sunbathing,1391,suburban,66,219,spring,1,1,0
53,female,90080,master,8,swimming,4722,suburban,43,117,spring,0,0,0
46,non-binary,110082,doctorate,1,hiking,826,suburban,199,17,spring,1,0,0
35,female,24849,master,5,sunbathing,2792,suburban,164,31,fall,1,0,0
19,female,74156,doctorate,8,skiing,575,urban,116,201,winter,0,0,1
18,female,80481,bachelor,9,swimming,4368,rural,158,108,spring,1,0,0
64,female,103029,doctorate,6,skiing,4090,rural,107,207,spring,1,1,1
22,male,22979,bachelor,2,swimming,1325,urban,236,94,summer,0,0,0
37,female,32208,high school,6,hiking,2776,urban,102,281,spring,0,1,1
28,non-binary,51431,master,7,sunbathing,4424,rural,190,199,spring,1,1,0
59,female,82550,doctorate,0,swimming,2297,urban,204,249,winter,1,1,0
19,non-binary,54744,doctorate,8,hiking,1710,suburban,112,154,summer,0,0,1
20,female,76152,doctorate,9,sunbathing,4668,suburban,182,191,spring,0,0,0
40,non-binary,60674,master,2,hiking,2683,suburban,187,176,summer,0,1,0
29,male,29354,master,5,sunbathing,2536,rural,256,201,summer,0,1,0
37,non-binary,109896,master,2,swimming,2208,suburban,3,66,fall,1,1,0
22,female,55050,bachelor,8,hiking,3439,urban,3,113,spring,0,1,1
54,female,53541,doctorate,5,sunbathing,4718,rural,265,88,winter,1,1,0
55,non-binary,45449,master,3,skiing,2794,rural,281,295,fall,0,0,1
47,male,39433,high school,0,skiing,2378,urban,258,179,spring,0,1,0
26,female,94737,doctorate,7,sunbathing,1574,rural,170,230,fall,1,0,0
51,female,25932,master,6,hiking,3761,urban,149,147,summer,1,0,0
61,non-binary,54512,master,2,hiking,2897,suburban,0,168,winter,1,1,1
52,non-binary,71427,high school,8,skiing,4253,rural,6,140,summer,0,0,1
69,male,110193,master,0,sunbathing,2799,suburban,116,275,winter,0,0,0
39,non-binary,86208,doctorate,6,swimming,2661,suburban,154,269,winter,1,1,0
61,female,46812,bachelor,9,sunbathing,2692,suburban,175,77,fall,0,0,0
41,non-binary,106033,high school,9,sunbathing,1490,urban,98,49,winter,0,0,0
34,male,119334,bachelor,5,hiking,1405,urban,119,253,fall,1,1,1
27,male,49980,doctorate,7,skiing,2343,suburban,42,26,winter,1,1,0
47,female,70372,master,8,hiking,3348,rural,180,232,fall,1,0,1
63,non-binary,106750,master,8,swimming,2248,rural,264,220,summer,1,0,0
40,female,101993,bachelor,3,sunbathing,1168,rural,177,128,summer,0,0,0
49,male,32286,master,2,sunbathing,2915,rural,24,157,spring,1,0,0
34,male,61372,doctorate,3,swimming,4173,urban,164,265,fall,0,0,0
67,non-binary,77756,high school,5,hiking,2020,suburban,107,105,fall,1,0,0
68,non-binary,66095,bachelor,4,sunbathing,2796,suburban,298,64,winter,1,1,0
34,female,44835,bachelor,7,skiing,2959,suburban,297,147,spring,0,1,0
31,male,53856,doctorate,4,hiking,787,suburban,220,110,spring,1,1,0
26,female,53755,doctorate,3,swimming,3329,urban,25,148,spring,0,1,0
57,female,32928,high school,1,sunbathing,2037,suburban,166,183,fall,0,1,0
19,female,32793,doctorate,2,hiking,4790,urban,262,290,fall,0,1,1
62,male,42235,bachelor,1,skiing,4675,rural,250,84,summer,1,1,0
42,non-binary,93279,doctorate,4,swimming,1583,suburban,238,111,fall,0,1,0
56,male,55569,bachelor,7,skiing,2392,rural,246,82,summer,0,1,0
26,female,101985,bachelor,3,hiking,2203,urban,126,75,winter,1,0,0
39,male,108888,master,4,sunbathing,4688,urban,71,240,summer,0,0,0
60,female,103300,doctorate,1,sunbathing,3200,suburban,117,82,summer,1,0,0
63,female,25578,master,6,skiing,3032,urban,107,207,winter,1,0,1
21,non-binary,53830,doctorate,2,sunbathing,2026,urban,214,229,summer,0,0,0
43,female,114695,bachelor,7,skiing,3217,rural,96,114,spring,0,1,1
46,male,75931,doctorate,1,skiing,3767,urban,141,169,summer,0,0,1
62,non-binary,29336,master,1,sunbathing,3987,suburban,293,289,winter,0,1,0
51,non-binary,57459,high school,3,sunbathing,4133,suburban,266,272,spring,1,0,0
40,non-binary,42736,doctorate,7,hiking,935,urban,216,150,summer,0,0,0
54,non-binary,39206,bachelor,1,hiking,2258,urban,79,8,summer,0,0,0
28,non-binary,49622,high school,4,sunbathing,2416,suburban,104,7,winter,1,0,0
23,male,103344,bachelor,4,swimming,963,rural,191,161,spring,0,0,0
35,female,30819,high school,8,hiking,1294,suburban,216,12,winter,0,1,0
38,female,58691,doctorate,8,swimming,3990,urban,91,27,spring,1,0,0
59,female,45309,doctorate,0,sunbathing,3507,rural,13,3,spring,0,0,0
53,female,69152,doctorate,8,skiing,531,suburban,129,267,summer,1,0,1
58,non-binary,65814,bachelor,2,hiking,2546,rural,59,117,summer,1,1,1
55,female,115522,high school,8,sunbathing,4456,rural,91,50,spring,1,0,0
51,female,76395,master,0,sunbathing,1622,rural,285,267,fall,0,1,0
34,non-binary,98224,bachelor,4,swimming,2778,rural,126,121,fall,1,1,0
54,non-binary,40047,bachelor,7,sunbathing,1821,suburban,209,285,fall,0,1,0
42,non-binary,36159,bachelor,5,swimming,4290,rural,293,226,winter,0,1,0
55,female,57613,master,0,skiing,1778,suburban,267,246,summer,0,1,0
29,non-binary,115158,high school,7,hiking,2257,urban,208,90,fall,1,1,0
40,non-binary,37279,bachelor,3,sunbathing,3860,urban,2,79,fall,1,0,0
59,male,112690,doctorate,0,swimming,2839,urban,55,293,fall,1,0,0
39,male,68220,high school,9,sunbathing,1725,urban,201,121,summer,0,1,0
38,female,113788,bachelor,7,hiking,4003,urban,7,71,summer,1,0,1
44,non-binary,116754,doctorate,8,skiing,2454,suburban,274,176,winter,1,1,0
48,female,79983,high school,7,sunbathing,3594,suburban,259,22,winter,0,0,0
23,male,51491,bachelor,7,skiing,769,suburban,144,52,fall,1,1,0
44,male,35764,doctorate,6,sunbathing,766,suburban,284,92,summer,1,1,0
57,non-binary,76829,master,0,skiing,4246,urban,224,243,summer,1,1,1
51,female,40594,doctorate,1,sunbathing,2867,rural,88,207,spring,0,0,0
29,male,72907,master,0,swimming,2285,urban,22,85,spring,0,0,0
62,non-binary,68243,high school,8,sunbathing,3452,suburban,34,239,fall,0,0,0
24,female,68235,high school,1,sunbathing,2761,suburban,66,264,fall,0,1,0
27,non-binary,111353,high school,1,swimming,4135,suburban,108,62,fall,0,0,0
62,non-binary,33003,master,8,swimming,3477,urban,85,53,fall,1,0,0
34,male,93360,master,9,swimming,1348,rural,30,97,spring,0,1,0
43,female,110148,doctorate,2,skiing,2985,urban,254,94,winter,1,0,0
38,male,95811,bachelor,1,skiing,706,urban,131,135,fall,1,1,1
45,female,32188,master,4,skiing,4870,urban,259,299,summer,0,1,1
63,female,112484,high school,7,sunbathing,2090,suburban,42,185,winter,1,0,0
19,non-binary,89221,master,1,sunbathing,1540,suburban,156,100,winter,0,1,0
60,non-binary,61602,bachelor,9,swimming,3197,urban,144,296,fall,0,0,0
18,female,104366,doctorate,4,sunbathing,3838,rural,82,88,fall,0,0,0
68,non-binary,47586,bachelor,4,sunbathing,3959,suburban,90,3,summer,1,0,0
53,male,76004,high school,0,swimming,4563,rural,25,234,spring,0,0,0
68,female,117640,high school,2,swimming,4277,urban,275,120,winter,1,0,0
43,male,97870,master,2,swimming,3205,urban,113,195,summer,1,0,0
46,non-binary,51957,high school,8,skiing,1275,suburban,38,228,fall,1,0,1
38,female,107848,master,0,hiking,2507,suburban,174,208,spring,0,0,1
28,non-binary,67262,high school,7,hiking,4132,urban,187,131,fall,0,0,0
57,male,44610,high school,3,swimming,4116,suburban,151,127,summer,1,1,0
28,female,38310,doctorate,9,hiking,1971,suburban,166,155,fall,0,0,0
53,non-binary,59399,high school,6,skiing,2695,rural,267,74,winter,1,0,0
66,male,101708,bachelor,4,skiing,3673,urban,62,210,winter,0,1,1
56,male,67928,high school,9,sunbathing,1121,rural,258,29,fall,1,0,0
57,non-binary,103679,high school,6,swimming,1798,rural,271,260,spring,0,1,0
52,female,90141,high school,3,sunbathing,1002,urban,188,62,winter,0,0,0
51,non-binary,22676,doctorate,3,skiing,4549,rural,33,44,summer,1,1,1
64,female,93326,high school,8,swimming,2772,rural,60,220,winter,1,1,0
41,male,48485,doctorate,1,skiing,4302,urban,242,160,summer,1,0,0
39,male,86918,high school,0,hiking,2690,suburban,298,163,fall,0,1,0
22,male,111696,master,7,sunbathing,2081,rural,200,107,summer,1,0,0
50,non-binary,31310,bachelor,5,hiking,1171,urban,226,198,spring,1,1,0
53,non-binary,80516,master,5,hiking,621,rural,247,121,summer,0,0,0
64,non-binary,30138,master,6,sunbathing,3666,rural,81,90,spring,1,0,0
37,male,55413,high school,2,hiking,3442,urban,240,249,fall,0,1,1
36,female,56267,master,3,swimming,1423,rural,51,262,summer,0,1,0
52,non-binary,58851,high school,0,sunbathing,4110,rural,41,285,spring,1,0,0
69,non-binary,29964,master,8,skiing,4798,urban,10,215,winter,0,1,1
60,non-binary,31237,master,3,sunbathing,739,suburban,52,167,winter,0,1,0
34,male,63555,master,5,hiking,661,suburban,3,97,spring,1,0,1
62,female,67811,high school,6,skiing,1639,rural,0,299,winter,1,1,1
60,female,93964,doctorate,1,hiking,2472,rural,198,243,fall,1,1,1
51,female,50281,bachelor,4,swimming,2034,suburban,204,120,summer,1,1,0
26,non-binary,82303,bachelor,4,hiking,965,urban,87,26,summer,1,1,0
43,non-binary,32617,bachelor,1,swimming,2653,urban,59,64,spring,0,1,0
19,female,28650,bachelor,7,sunbathing,3814,rural,183,107,winter,0,0,0
26,male,66705,high school,2,skiing,2679,urban,101,271,winter,0,1,1
26,female,111784,master,7,hiking,653,urban,126,123,spring,1,0,0
57,non-binary,28376,doctorate,5,sunbathing,3136,rural,24,77,winter,1,0,0
34,female,98825,doctorate,0,swimming,1457,urban,135,11,spring,1,1,0
18,female,20312,high school,3,skiing,521,rural,290,161,summer,1,0,0
42,female,51908,doctorate,7,swimming,3356,rural,167,257,spring,0,0,0
60,male,22990,bachelor,5,hiking,4414,urban,103,23,spring,1,0,0
57,non-binary,112059,high school,8,swimming,954,suburban,214,38,summer,1,1,0
59,non-binary,42021,high school,1,hiking,2469,suburban,17,17,winter,0,1,0
42,female,77248,high school,8,sunbathing,4897,urban,3,192,fall,1,1,0
56,non-binary,38204,bachelor,7,sunbathing,4012,urban,203,132,summer,0,1,0
52,male,74967,master,4,sunbathing,999,suburban,4,151,summer,0,0,0
20,female,25956,master,5,swimming,4860,rural,65,277,winter,1,0,0
67,male,88949,master,8,swimming,4045,urban,160,99,winter,0,0,0
54,female,46611,high school,1,swimming,4021,urban,86,141,winter,1,0,0
61,female,25278,master,8,swimming,2719,rural,87,176,winter,1,0,0
61,female,31409,master,4,skiing,3021,suburban,21,30,fall,0,1,1
68,male,105192,bachelor,2,hiking,696,suburban,116,138,fall,0,0,1
47,non-binary,28221,high school,5,swimming,1513,rural,127,31,fall,0,1,0
55,non-binary,72958,doctorate,6,sunbathing,1554,suburban,276,223,fall,1,1,0
51,non-binary,80578,high school,6,sunbathing,697,urban,247,259,fall,1,1,0
29,non-binary,118832,bachelor,2,hiking,2266,suburban,121,111,winter,0,0,0
36,male,55561,master,2,skiing,3739,suburban,136,55,summer,0,1,0
54,non-binary,27055,bachelor,9,sunbathing,1256,rural,299,19,summer,0,1,0
61,non-binary,82688,bachelor,7,swimming,762,suburban,220,156,spring,1,1,0
66,female,116579,doctorate,9,hiking,4203,rural,246,146,fall,0,0,0
34,male,119806,high school,7,swimming,838,suburban,285,215,fall,1,0,0
27,female,77085,doctorate,0,swimming,3960,urban,174,207,fall,0,0,0
66,non-binary,28992,high school,1,swimming,4122,suburban,67,230,winter,1,1,0
64,female,43033,doctorate,1,swimming,2933,urban,298,103,fall,1,0,0
29,non-binary,37137,master,2,hiking,3543,suburban,240,269,winter,0,0,1
33,female,85211,doctorate,7,skiing,749,suburban,85,81,summer,0,1,0
41,male,20771,doctorate,8,sunbathing,2364,urban,265,85,spring,1,0,0
36,female,90898,doctorate,7,hiking,2636,rural,67,229,spring,1,1,1
25,female,77187,bachelor,8,skiing,3306,suburban,165,92,spring,1,0,0
48,female,29407,master,2,swimming,4396,suburban,228,249,fall,1,0,0
38,female,63860,master,8,sunbathing,2348,suburban,165,106,winter,0,1,0
34,non-binary,43244,bachelor,6,sunbathing,4242,urban,30,143,summer,1,0,0
40,female,50339,bachelor,1,skiing,3233,rural,171,222,fall,0,1,1
54,male,73538,bachelor,9,hiking,3323,urban,93,160,summer,0,0,1
33,female,64057,bachelor,3,skiing,2347,rural,99,282,winter,0,0,1
23,male,73913,bachelor,4,swimming,3892,rural,207,276,summer,1,0,0
25,female,117810,master,7,hiking,1494,rural,109,6,winter,1,1,0
42,non-binary,94378,doctorate,8,skiing,2413,suburban,68,134,summer,0,0,1
